nome_grupo_coletivo,qtd_membros_coletivo,nome_representante_coletivo,cpf_representante_coletivo,email_coletivo,telefone_coletivo,cep_coletivo,endereco_coletivo,municipio_coletivo,uf_coletivo,anos_atuacao_coletivo,acessou_recursos_5anos_col
Vieira - EI,40,Apollo Cavalcante,591.460.728-02,rafaelrocha@example.org,(051) 0066 2207,25680795,"Setor Azevedo, 78
Cidade Nova
99117-057 Rios / RR",Silveira Verde,SC,3,Sim
Santos Barros - ME,4,Emilly Abreu,240.953.678-65,isadora76@example.net,(081) 9233-1411,01447-997,"Travessa de Viana, 17
Primeiro De Maio
11998549 Fernandes de da Mota / RO",Leão,PI,33,Sim
Dias e Filhos,12,Isadora Rodrigues,407.985.621-02,bella16@example.net,(041) 8673-4424,58056490,"Viela Maria Sophia Lima, 96
Vila Cloris
19156-111 da Rocha do Campo / SP",Nascimento,MA,2,Não
Moura,48,Isabela Casa Grande,174.085.296-67,maria-isiscorreia@example.net,+55 (011) 5492-5011,60859-985,"Jardim Henrique Dias, 622
Sport Club
06088938 da Mata / CE",Novaes,SC,23,Sim
Cirino,5,Dr. Guilherme Peixoto,265.148.973-55,nathanda-mota@example.org,+55 (041) 4921 9279,77236-452,"Parque Nascimento
Tres Marias
73658966 Almeida de Cavalcante / AC",Dias de Goiás,AM,27,Não sei
Lima Sales Ltda.,38,Dr. Gael Caldeira,729.856.341-64,da-rosaigor@example.org,(021) 8623 2997,49507-457,"Chácara Pereira, 52
Vila Das Oliveiras
18049645 Aragão Alegre / SC",Viana,SE,44,Não sei
Rodrigues Castro e Filhos,18,Maria Eduarda Machado,175.962.408-01,riosbenicio@example.net,(011) 7885-0283,43282412,"Sítio Borges, 26
Ernesto Nascimento
83785-520 Cirino Alegre / CE",Siqueira,BA,37,Sim
Cavalcanti Ltda.,13,Natália Andrade,512.370.468-07,ana-carolinacosta@example.com,(031) 2563 0998,70515-159,"Conjunto Silveira, 27
Saudade
56235-933 Costa / CE",Lima de Rezende,DF,8,Sim
Pereira,22,Srta. Hellena Pastor,854.130.679-84,josuedias@example.org,+55 (021) 5248 8848,14725062,"Travessa Caroline Pinto, 5
João Alfredo
92985-730 Rezende de Minas / SC",Peixoto da Prata,GO,20,Sim
Guerra,37,Pedro Miguel Barros,436.510.928-60,cda-rosa@example.com,84 8079-7723,83868310,"Loteamento Ramos, 96
Alípio De Melo
87443-274 Macedo / SC",Vasconcelos,ES,18,Não sei
Moura Ltda.,18,Luiz Miguel Pires,702.836.495-00,yuri28@example.net,41 0126-7114,39435106,"Praia de Novais, 60
Boa Esperança
73789-593 Leão de Barbosa / AM",Casa Grande,RS,41,Sim
Vargas,46,Mirella Moura,426.509.713-80,albuquerquemateus@example.com,+55 (081) 6876-0045,25901-836,"Distrito Macedo, 81
Conjunto Providencia
19080-804 Rezende / GO",Alves,PE,2,Não
Sá Cassiano - ME,26,Fernando Oliveira,204.397.651-61,lmarques@example.org,51 8801 2306,49448539,"Vereda Sofia Borges, 49
Funcionários
35873-737 Araújo das Pedras / ES",Cavalcanti,MS,43,Não
Gomes Fonseca - ME,8,Ravy Pacheco,125.468.093-42,franciscocavalcanti@example.org,+55 71 1032 7896,68316-513,"Pátio de Albuquerque, 68
Comiteco
61139-870 Farias / MS",Sampaio,MG,39,Não
Rezende - EI,3,Lívia Santos,905.417.382-32,costaallana@example.org,+55 (081) 9837-5683,48861-692,"Vale Anthony Vieira, 792
Corumbiara
81230-250 Porto / RJ",Novaes,CE,4,Não
Casa Grande,41,André Araújo,802.356.491-98,correiagiovanna@example.com,(031) 4969-9481,22171-288,"Estrada Borges, 78
Inconfidência
32663163 Montenegro / PI",da Luz,DF,12,Não
Pires,2,Léo Albuquerque,609.127.345-07,zpires@example.net,51 2695 1515,97698007,"Praça das Neves, 50
João Alfredo
11891-958 da Mota / RJ",Ramos do Norte,GO,3,Não sei
Fogaça Almeida S.A.,28,Ana Júlia Barros,761.048.239-04,moreirarafael@example.net,41 8945 2963,98411-575,"Residencial Olivia Barbosa, 9
Teixeira Dias
47902087 Farias das Pedras / BA",Rezende dos Dourados,MS,49,Sim
Borges,35,Beatriz Sá,107.926.354-34,lucca74@example.net,+55 51 2818 0798,96962374,"Rua Lucas Gabriel Rocha, 5
Vila Pilar
19986518 Novais / PE",Vasconcelos das Flores,SE,12,Não
Peixoto,49,Léo Barros,953.201.487-04,henry48@example.com,+55 81 0700 2401,93862958,"Ladeira Macedo, 15
Piraja
49553876 Pereira da Serra / PB",Silva de Minas,RR,26,Não
Moreira Pinto S/A,19,Gabriel Araújo,938.574.612-09,lcavalcanti@example.org,+55 71 0891 6922,85083-321,"Trevo de Albuquerque, 8
Vila Santa Monica 1ª Seção
48764523 Aragão / MG",Pimenta,ES,10,Sim
Araújo S.A.,12,Luan Moraes,268.137.954-73,da-rocharafael@example.org,+55 11 7939-3588,47996529,"Área de Gonçalves, 77
Salgado Filho
66972319 Ferreira de Borges / RR",das Neves,SE,10,Não sei
Borges,37,Cauê Barbosa,307.981.526-21,arthur36@example.com,+55 (081) 1901 5539,96265-703,"Fazenda Vargas, 563
Vila Independencia 1ª Seção
35934609 da Conceição do Sul / TO",Pacheco de Pires,BA,40,Não sei
Vargas,15,Théo Barbosa,186.320.759-77,gduarte@example.com,21 4287 7090,52020150,"Estrada da Rosa
Jonas Veiga
56641-765 Silveira de Ferreira / BA",Viana de Souza,PE,28,Sim
Monteiro S.A.,9,Ana Sophia Gomes,398.024.716-31,ferreirajoao-gabriel@example.org,(071) 7093 7443,90104-519,"Ladeira de Campos, 51
Beira Linha
11266793 Cavalcanti dos Dourados / AP",Melo de Cavalcanti,MS,31,Não
Pinto Cavalcante S/A,23,Ryan Lima,532.846.097-92,xfreitas@example.com,(021) 8162 7564,76345-971,"Área Montenegro, 140
Sport Club
04509-198 Borges de Minas / RO",Gomes,SE,43,Sim
Barbosa Rezende - EI,10,Juliana Cardoso,319.648.527-73,pmontenegro@example.net,+55 41 7186-1970,43096-689,"Avenida Levi Barros, 8
Mantiqueira
43111228 Martins / AC",Silveira do Sul,AC,11,Não
Pires,6,Cauê Caldeira,162.385.497-00,marcos-viniciuscunha@example.net,0800 958 1705,08515-467,"Travessa Martins
Confisco
30560502 Macedo / MS",da Mata de Jesus,AM,43,Sim
Alves,7,João Vitor Gonçalves,804.792.361-78,maria-helena61@example.com,(061) 3366-4165,31499-232,"Parque Lívia Vieira
Mantiqueira
96546-215 Lopes de da Rosa / CE",Cirino,SC,40,Não sei
da Cruz,17,Nina Macedo,534.608.297-29,matteo48@example.com,81 2659 1059,14733-329,"Vale Esther Teixeira, 1
Sion
07685692 Freitas / PE",Novais,PI,44,Não sei
Ferreira S.A.,47,Rael Pinto,314.087.956-39,davipastor@example.com,21 1415-3117,64995074,"Rodovia de da Costa, 17
Miramar
57542-871 Correia / RJ",Azevedo,PA,24,Sim
Monteiro - ME,23,Benjamin Duarte,840.192.375-14,stephany44@example.org,+55 (051) 4220 6157,12094-308,"Conjunto de da Mota, 572
Vila Havaí
60622-514 da Mata de Pinto / BA",Costa do Sul,DF,9,Sim
Novaes,38,Marcelo Oliveira,529.436.170-16,meloarthur@example.net,51 3489 5081,14009-919,"Lagoa de Moreira, 844
Itatiaia
23883-975 Ribeiro / PI",Albuquerque de Montenegro,AM,26,Não
Nascimento,38,Otávio Correia,394.217.058-23,palves@example.org,(031) 4930 4891,20958124,"Trecho de Sá, 43
Vila Copasa
04086-240 Duarte / TO",Nascimento,AC,10,Sim
Lima,10,Marina Borges,816.075.294-67,psales@example.com,+55 (021) 5900 0407,22889680,"Loteamento da Cunha, 3
Mirtes
36225-615 Correia / RR",da Paz,PB,45,Não sei
Rocha Nascimento - ME,42,Ana Carolina Costa,516.492.038-70,yanvieira@example.net,+55 41 0845 2713,54264378,"Loteamento Novais
Maria Goretti
80234953 Silveira / RS",Montenegro do Amparo,BA,43,Não
Camargo,5,Gabrielly Sales,735.264.810-08,rafaelcassiano@example.com,51 1552 9534,67667588,"Passarela Isadora Pastor, 84
Vila Cemig
29899418 Guerra / CE",Novais,AC,28,Não sei
Fogaça Costa - EI,21,Vitor Leão,305.468.297-83,caroline81@example.net,(071) 0659 7707,58980708,"Praça de da Luz
Caiçaras
58251846 Fogaça do Sul / DF",Oliveira das Flores,SE,22,Não sei
Oliveira Novais S/A,18,Maria Liz Alves,907.836.145-00,sousaaurora@example.org,+55 81 1941-9675,90119-196,"Colônia Luan das Neves, 77
Vila Independencia 3ª Seção
56988-328 Albuquerque Alegre / TO",Andrade,AC,5,Não
Lopes - EI,26,Daniela Gomes,941.087.652-49,portovinicius@example.com,+55 (011) 4672-3567,88237879,"Viela Davi Campos, 127
Túnel De Ibirité
54425-850 Costa da Prata / MS",da Mota,AP,32,Sim
