identificador_edital,cpf_responsavel_execucao,cnpj_responsavel_execucao,data_inicio_execucao,data_termino_execucao,valor_recebido_pnab,data_recebimento_recurso,recebeu_recursos_outras_fontes,valor_recursos_outras_fontes,qtd_pessoas_remuneradas_exec,cpfs_remunerados,formato_execucao,cep_local_execucao
Edital-PNAB-2025-011,,90.456.183/0001-47,15/07/2025,25/12/2025,128378.18,26/05/2025,"Apoio financeiro municipal, Apoio financeiro estadual",51108.47,8,"209.374.581-04, 241.609.375-43, 417.392.086-50, 524.607.938-47, 093.872.564-56, 086.127.354-08, 415.096.872-11, 617.925.408-76",Presencialmente em local fixo,53494937
Edital-PNAB-2025-001,,97.354.160/0001-70,18/04/2025,22/05/2025,96655.67,21/02/2025,"Não, a ação não possui outras fontes de recursos financeiros",0.0,14,"603.428.591-70, 413.987.602-69, 410.893.267-69, 912.530.486-06, 348.629.517-91, 431.769.082-96, 278.930.641-96, 479.605.123-61, 903.621.857-86, 560.928.173-30, 783.096.142-50, 032.187.946-50, 109.753.684-00, 107.894.325-79",Outros,06625-324
Edital-PNAB-2025-001,720.465.183-90,,28/01/2025,24/07/2025,135877.5,17/01/2025,"Cobrança de ingressos, Doações de Empresas",12699.41,4,"769.082.351-30, 389.540.721-60, 789.245.613-91, 205.418.967-76",Presencialmente em local fixo,93213-348
Edital-PNAB-2025-010,,03.621.547/0001-00,10/10/2025,21/10/2025,135141.92,14/08/2025,"Não, a ação não possui outras fontes de recursos financeiros",0.0,7,"590.862.147-11, 784.130.952-04, 930.487.256-10, 259.670.438-29, 185.023.697-68, 528.936.701-21, 326.857.104-26",Não aplicável,
Edital-PNAB-2025-004,,96.014.285/0001-99,25/08/2025,16/01/2026,132967.8,30/06/2025,"Outros, Recursos de Lei de Incentivo Municipal, Recursos de Lei de Incentivo Estadual",69303.85,5,"917.820.635-95, 215.309.874-23, 541.906.372-70, 267.394.801-50, 932.805.741-88",Em formato híbrido,11526-218
Edital-PNAB-2025-001,,15.780.392/0001-26,07/11/2025,01/02/2026,118010.81,14/09/2025,"Outros, Recursos de Lei de Incentivo Estadual, Recursos de Lei de Incentivo Federal",13576.63,3,"620.781.435-53, 493.067.852-83, 506.824.379-56",Em formato híbrido,32417146
Edital-PNAB-2025-002,741.583.962-55,,22/04/2025,13/06/2025,123038.23,01/04/2025,"Recursos de Lei de Incentivo Estadual, Outros",2869.49,6,"527.083.416-26, 402.658.971-49, 863.407.921-03, 937.208.564-29, 172.965.403-70, 163.859.240-33",Em formato híbrido,68685487
Edital-PNAB-2025-011,,08.693.142/0001-93,03/10/2025,14/12/2025,54618.48,22/09/2025,"Doações de Empresas, Patrocínio privado direto, Apoio financeiro municipal",10112.0,8,"918.402.673-13, 678.012.395-12, 065.719.382-86, 054.263.978-56, 475.283.091-41, 367.842.059-10, 146.985.032-05, 309.876.254-38",Presencialmente itinerante,57861-035
Edital-PNAB-2025-009,972.634.810-22,,21/04/2025,21/09/2025,66880.87,08/04/2025,"Patrocínio de instituição internacional, Cobrança de ingressos",78754.63,3,"419.036.827-03, 398.257.064-65, 728.401.936-04",Em formato híbrido,66574-374
Edital-PNAB-2025-007,,86.104.257/0001-09,29/06/2025,19/10/2025,3248.62,20/06/2025,"Vendas de produtos, Outros, Recursos de Lei de Incentivo Estadual",29773.5,2,"179.265.483-91, 329.047.856-47",Não aplicável,
Edital-PNAB-2025-011,,07.423.586/0001-46,26/08/2025,27/09/2025,108803.88,08/07/2025,"Não, a ação não possui outras fontes de recursos financeiros",0.0,9,"035.761.824-62, 842.659.130-24, 724.591.830-97, 359.827.614-19, 947.603.528-56, 731.658.290-12, 293.874.501-04, 217.958.630-21, 074.168.539-66",Não aplicável,
Edital-PNAB-2025-014,,96.837.540/0001-01,22/12/2024,19/06/2025,46461.31,20/11/2024,"Não, a ação não possui outras fontes de recursos financeiros",0.0,13,"083.529.674-10, 093.152.487-32, 684.105.293-51, 895.371.246-73, 326.015.478-71, 982.076.351-77, 809.576.423-00, 679.042.358-38, 304.958.267-74, 618.205.349-60, 483.257.609-74, 873.592.104-88, 197.804.523-97",Não aplicável,
Edital-PNAB-2025-013,,43.726.809/0001-08,02/11/2025,28/03/2026,47239.63,17/09/2025,Recursos de Lei de Incentivo Federal,23666.18,13,"204.956.378-74, 108.695.243-05, 941.267.085-02, 746.539.102-43, 021.346.597-34, 502.368.914-05, 145.078.923-41, 891.357.642-28, 280.751.346-80, 175.928.043-79, 869.710.352-59, 178.203.549-41, 608.974.235-00",Outros,55037-589
Edital-PNAB-2025-011,759.061.842-01,,25/06/2025,17/10/2025,102317.2,21/05/2025,"Recursos de Lei de Incentivo Municipal, Vendas de produtos, Apoio financeiro estadual",23419.13,20,"485.706.139-20, 614.785.093-84, 735.086.412-44, 982.304.571-23, 972.541.603-16, 956.341.287-73, 472.139.856-55, 839.142.570-32, 285.709.341-14, 846.709.531-84, 208.196.534-89, 204.178.965-49, 983.564.701-10, 068.352.971-40, 379.562.140-25, 472.501.986-02, 609.247.183-31, 057.819.634-48, 947.685.201-11, 832.406.197-50",Outros,
Edital-PNAB-2025-008,,53.892.641/0001-64,26/11/2024,16/01/2025,24661.03,05/11/2024,"Não, a ação não possui outras fontes de recursos financeiros",0.0,15,"387.450.621-53, 738.052.961-77, 489.072.316-13, 435.907.126-43, 138.657.049-48, 120.358.764-35, 024.796.138-87, 679.320.854-38, 801.654.923-33, 581.296.074-76, 690.314.578-84, 842.756.093-10, 108.463.795-20, 536.941.702-43, 943.018.625-60",Outros,41413975
Edital-PNAB-2025-003,231.940.786-31,,21/03/2025,30/08/2025,87623.62,16/02/2025,"Doações de Pessoas Físicas, Patrocínio de instituição internacional",20274.77,20,"754.891.263-37, 205.163.978-77, 578.329.640-65, 214.687.530-53, 108.645.327-17, 084.763.152-44, 342.985.017-79, 803.641.579-84, 297.801.356-77, 453.081.297-97, 708.529.631-30, 982.356.740-92, 846.193.275-73, 702.315.894-41, 328.174.059-60, 651.389.402-60, 603.814.592-33, 920.186.357-86, 413.796.502-16, 628.459.701-02",Não aplicável,
Edital-PNAB-2025-001,713.968.052-30,,19/11/2025,08/03/2026,35169.65,24/09/2025,"Doações de Empresas, Doações de Pessoas Físicas, Apoio financeiro municipal",45035.06,3,"896.714.035-57, 901.837.624-87, 865.904.371-57",Em formato híbrido,59916-247
Edital-PNAB-2025-005,314.769.205-16,,12/09/2025,26/01/2026,148220.19,25/07/2025,"Cobrança de ingressos, Doações de Empresas",34712.52,17,"081.493.726-87, 651.734.298-28, 954.831.627-73, 257.964.831-37, 213.758.064-08, 580.137.496-57, 961.027.583-40, 694.570.123-99, 703.654.289-65, 983.410.267-40, 214.639.580-05, 801.942.573-04, 397.840.251-32, 819.425.067-67, 847.396.152-82, 709.826.354-00, 356.248.071-71",Em formato híbrido,41651827
